;
Nome completo;Jordan Terrell Carter
Outros nomes;Sir Cartier Cactus Jack Yung Carti King Vamp
Nascimento;13 de setembro de 1996 (26 anos) Riverdale, Geórgia Estados Unidos
Residência;Los Angeles
Etnia;Afro-americana
Cônjuge;Iggy Azalea (2018–2020)
Filho(a)(s);1
Ocupação;Rapper cantor compositor produtor musical
Carreira musical;Carreira musical
Período musical;2010—presente
Gênero(s);Hip hop trap hip hop alternativo plugg
Instrumento(s);Vocal
Gravadora(s);AWGE Interscope Opium (atual) Awful (antigo)
Afiliações;Kanye West, A$AP Rocky, Kid Cudi, Lil Uzi Vert, Iggy Azalea, Trippie Redd
Página oficial;www.playboicarti.com
